epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.636,0.81421,3.3066,1.17164,0.90158,0.09477,0.35766,0.28784,0.76153,3.32148,1.10484,0.000249405,0.000249405,0.000249405
2,262.746,0.78492,2.24103,1.1424,0.52849,0.48358,0.51782,0.40457,0.92254,2.47934,1.2357,0.000455671,0.000455671,0.000455671
3,390.636,0.80025,1.88468,1.14207,0.61244,0.53767,0.6022,0.46646,0.94616,2.16235,1.25967,0.000611182,0.000611182,0.000611182
4,519.143,0.80457,1.73064,1.1274,0.70172,0.64432,0.70817,0.55222,0.8676,1.65148,1.18576,0.000540607,0.000540607,0.000540607
5,649.027,0.75596,1.63625,1.10081,0.76048,0.66924,0.73054,0.5878,0.81653,1.59642,1.12299,0.000464476,0.000464476,0.000464476
6,776.746,0.72258,1.51272,1.09127,0.73746,0.70349,0.75394,0.60661,0.75221,1.46177,1.09923,0.000388345,0.000388345,0.000388345
7,905.828,0.66668,1.43088,1.06201,0.77525,0.72657,0.79751,0.66109,0.67559,1.45107,1.03183,0.000312214,0.000312214,0.000312214
8,1034.04,0.63965,1.31215,1.03985,0.82477,0.72436,0.80729,0.68742,0.60536,1.27301,1.00657,0.000236083,0.000236083,0.000236083
9,1161.74,0.60301,1.2251,1.01474,0.75764,0.81125,0.83252,0.71272,0.59605,1.21353,1.00824,0.000159952,0.000159952,0.000159952
10,1424.99,0.5616,1.1546,0.97883,0.83542,0.7789,0.83933,0.72223,0.60138,1.14768,1.00868,8.3821e-05,8.3821e-05,8.3821e-05
